Index,File,Label,Confidence
0,a g edwards inc_1986_page_40_1.csv,__label__nontarget,0.9999130964279175
1,a g edwards inc_1986_page_40_2.csv,__label__nontarget,0.5109794735908508
2,a g edwards inc_1986_page_40_3.csv,__label__nontarget,1.0000100135803223
3,a g edwards inc_1986_page_40_4.csv,__label__nontarget,1.000007152557373
4,a h robins co inc_1986_page_55_1.csv,__label__target,1.0000039339065552
5,a h robins co inc_1986_page_55_2.csv,__label__nontarget,0.9985446929931641
6,a h robins co inc_1986_page_55_3.csv,__label__nontarget,1.0000100135803223
7,a h robins co inc_1986_page_55_4.csv,__label__nontarget,1.0000100135803223
8,a l laboratories inc_1986_page_39_1.csv,__label__target,0.9998459815979004
9,a l laboratories inc_1986_page_39_2.csv,__label__nontarget,0.9490678310394287
10,a l laboratories inc_1986_page_40_1.csv,__label__nontarget,1.0000100135803223
11,a m castle & co_1986_page_28_1.csv,__label__target,1.0000100135803223
12,a m castle & co_1986_page_28_2.csv,__label__nontarget,0.9999768733978271
13,a m castle & co_1986_page_28_3.csv,__label__nontarget,1.0000094175338745
14,a m castle & co_1986_page_28_4.csv,__label__nontarget,1.0000100135803223
15,a o smith corp_1986_page_35_1.csv,__label__target,0.9999970197677612
16,a o smith corp_1986_page_35_2.csv,__label__nontarget,0.9997298121452332
17,a o smith corp_1986_page_36_1.csv,__label__nontarget,0.9770925045013428
18,a t & e corp_1986_page_32_1.csv,__label__nontarget,0.9999837875366211
19,a t & e corp_1986_page_32_2.csv,__label__nontarget,1.0000100135803223
20,acco world corp_1986_page_82_1.csv,__label__nontarget,1.0000098943710327
21,acco world corp_1986_page_82_2.csv,__label__nontarget,1.0000100135803223
22,acco world corp_1986_page_82_3.csv,__label__target,1.0000100135803223
23,acco world corp_1986_page_82_4.csv,__label__nontarget,1.0000100135803223
24,aci holdings inc_1986_page_41_1.csv,__label__nontarget,0.989223301410675
25,aci holdings inc_1986_page_41_2.csv,__label__target,1.000009536743164
26,acme cleveland corp_1986_page_90_1.csv,__label__target,0.9930423498153687
27,acme cleveland corp_1986_page_90_2.csv,__label__nontarget,1.0000100135803223
28,acme cleveland corp_1986_page_90_3.csv,__label__nontarget,1.0000100135803223
29,acme cleveland corp_1986_page_90_4.csv,__label__nontarget,1.0000100135803223
30,acme electric corp_1986_page_121_1.csv,__label__nontarget,1.0000100135803223
31,acme electric corp_1986_page_121_2.csv,__label__nontarget,1.0000100135803223
32,acme electric corp_1986_page_121_3.csv,__label__target,1.0000100135803223
33,acme electric corp_1986_page_121_4.csv,__label__nontarget,1.0000100135803223
34,acme precision products inc_1986_page_44_1.csv,__label__nontarget,1.0000098943710327
35,action industries inc_1986_page_30_1.csv,__label__nontarget,1.0000100135803223
36,action industries inc_1986_page_30_2.csv,__label__target,0.9999933242797852
37,action industries inc_1986_page_30_3.csv,__label__nontarget,1.0000100135803223
38,acton corp_1986_page_51_1.csv,__label__nontarget,1.000004768371582
39,adobe resources corp_1986_page_74_1.csv,__label__target,0.9330324530601501
40,adobe resources corp_1986_page_74_2.csv,__label__nontarget,0.9976757764816284
41,adobe resources corp_1986_page_74_3.csv,__label__nontarget,1.0000100135803223
42,adobe resources corp_1986_page_74_4.csv,__label__nontarget,1.0000100135803223
43,advanced micro devices inc_1986_page_84_1.csv,__label__target,0.9999243021011353
44,advanced micro devices inc_1986_page_84_2.csv,__label__nontarget,1.0000100135803223
45,advanced micro devices inc_1986_page_84_3.csv,__label__nontarget,0.9990191459655762
46,advanced systems inc_1986_page_32_1.csv,__label__target,0.8335835933685303
47,advanced systems inc_1986_page_32_2.csv,__label__target,0.9999850988388062
48,advest group inc_1986_page_60_1.csv,__label__nontarget,1.0000066757202148
